
Dunn Index
             comp         ave        cent
sin   0.002052676 0.006044338 0.007981712
comp  1.583826272 4.663756877 6.158617115
ave   1.028387746 3.028204865 3.998826440
cent  1.028387746 3.028204864 3.998826440
aveto 1.028387746 3.028204865 3.998826440
haus  0.583826272 1.719142964 2.270174789

Davies Index
            comp         ave        cent
sin   770.590978 209.7313369 159.2810725
comp    0.998704   0.2718167   0.2064320
ave     1.538110   0.4186266   0.3179272
cent    1.538110   0.4186266   0.3179272
aveto   1.538110   0.4186266   0.3179272
haus    2.709322   0.7373948   0.5600166

Silhouette Coefficient
[1] 0.938733
