    support confidence     lift leverage   jaccard
1     0.200  0.8333333 2.109705 0.105200 0.4597701
2     0.210  0.8750000 2.160494 0.112800 0.4827586
3     0.310  0.9841270 2.811791 0.199750 0.8732394
4     0.310  0.8857143 2.811791 0.199750 0.8732394
5     0.290  0.9206349 2.593338 0.178175 0.7631579
6     0.290  0.8169014 2.593338 0.178175 0.7631579
7     0.285  0.9047619 2.478800 0.170025 0.7215190
8     0.275  0.8730159 2.054155 0.141125 0.5913978
9     0.305  0.8840580 2.422077 0.179075 0.7530864
10    0.305  0.8356164 2.422077 0.179075 0.7530864
11    0.310  0.8985507 2.274812 0.173725 0.7209302
12    0.305  0.8840580 2.182859 0.165275 0.6853933
13    0.295  0.8428571 2.374245 0.170750 0.7195122
14    0.295  0.8309859 2.374245 0.170750 0.7195122
15    0.295  0.8428571 2.309198 0.167250 0.7023810
16    0.295  0.8082192 2.309198 0.167250 0.7023810
17    0.300  0.8571429 2.016807 0.151250 0.6315789
18    0.315  0.8873239 2.431025 0.185425 0.7777778
19    0.315  0.8630137 2.431025 0.185425 0.7777778
20    0.305  0.8591549 2.021541 0.154125 0.6421053
21    0.340  0.9315068 2.358245 0.195825 0.8095238
22    0.340  0.8607595 2.358245 0.195825 0.8095238
23    0.315  0.8630137 2.130898 0.167175 0.6923077
24    0.305  0.8356164 1.966156 0.149875 0.6288660
25    0.360  0.9113924 2.250352 0.200025 0.8181818
26    0.360  0.8888889 2.250352 0.200025 0.8181818
27    0.200  1.0000000 2.469136 0.119000 0.4938272
28    0.200  0.9523810 2.411091 0.117050 0.4938272
29    0.285  0.9193548 2.589732 0.174950 0.7500000
30    0.285  0.9827586 2.807882 0.183500 0.8028169
31    0.285  0.9661017 3.066990 0.192075 0.8769231
32    0.280  0.9032258 2.474591 0.166850 0.7088608
33    0.280  0.9824561 2.807018 0.180250 0.7887324
34    0.280  0.9491525 3.013183 0.187075 0.8484848
35    0.275  0.8870968 2.087287 0.143250 0.5978261
36    0.275  1.0000000 2.857143 0.178750 0.7857143
37    0.275  0.9166667 2.910053 0.180500 0.8088235
38    0.270  0.9310345 2.550779 0.164150 0.7012987
39    0.270  0.9473684 2.668643 0.168825 0.7297297
40    0.270  0.8571429 2.721088 0.170775 0.7500000
41    0.270  0.9310345 2.190669 0.146750 0.6067416
42    0.270  0.9818182 2.765685 0.172375 0.7500000
43    0.270  0.8852459 2.810304 0.173925 0.7714286
44    0.260  0.9122807 2.146543 0.138875 0.5777778
45    0.260  0.9454545 2.590286 0.159625 0.6842105
46    0.260  0.8524590 2.706219 0.163925 0.7222222
47    0.200  0.8888889 2.435312 0.117875 0.5128205
48    0.200  0.8333333 2.415459 0.117200 0.5194805
49    0.300  0.9836066 2.490143 0.179525 0.7500000
50    0.300  0.9677419 2.651348 0.186850 0.8000000
51    0.300  0.8823529 2.557545 0.182700 0.7792208
52    0.285  0.9344262 2.307225 0.161475 0.6705882
53    0.285  0.9344262 2.560072 0.173675 0.7402597
54    0.285  0.9047619 2.622498 0.176325 0.7600000
55    0.205  0.9111111 2.306610 0.116125 0.4939759
56    0.205  0.8367347 2.425318 0.120475 0.5324675
57    0.215  0.9555556 2.359396 0.123875 0.5180723
58    0.290  0.9354839 2.309837 0.164450 0.6823529
59    0.290  0.9508197 2.407138 0.169525 0.7073171
60    0.290  0.8055556 2.334944 0.165800 0.6987952
61    0.270  0.9152542 2.507546 0.162325 0.6923077
62    0.270  0.9152542 2.578181 0.165275 0.7105263
63    0.270  0.8571429 2.448980 0.159750 0.6835443
64    0.280  0.9491525 2.233300 0.154625 0.6363636
65    0.280  0.9333333 2.629108 0.173500 0.7466667
66    0.280  0.9180328 2.622951 0.173250 0.7466667
67    0.265  0.8983051 2.113659 0.139625 0.5824176
68    0.265  0.8833333 2.420091 0.155500 0.6625000
69    0.265  0.8688525 2.482436 0.158250 0.6794872
70    0.285  0.9047619 2.128852 0.151125 0.6263736
71    0.285  0.9344262 2.560072 0.173675 0.7402597
72    0.285  0.9344262 2.632187 0.176725 0.7600000
73    0.220  0.9166667 2.320675 0.125200 0.5301205
74    0.220  0.8979592 2.460162 0.130575 0.5641026
75    0.210  0.8750000 2.160494 0.112800 0.4827586
76    0.310  0.9117647 2.251271 0.172300 0.7126437
77    0.310  0.9841270 2.491461 0.185575 0.7750000
78    0.310  0.8611111 2.359209 0.178600 0.7469880
79    0.230  0.9387755 2.317964 0.130775 0.5476190
80    0.230  0.8518519 2.156587 0.123350 0.5287356
81    0.265  0.9298246 2.547465 0.160975 0.6883117
82    0.265  0.9464286 2.665996 0.165600 0.7162162
83    0.265  0.9814815 2.804233 0.170500 0.7464789
84    0.265  0.9814815 3.115814 0.179950 0.8281250
85    0.270  0.9473684 2.229102 0.148875 0.6136364
86    0.270  0.9818182 2.765685 0.172375 0.7500000
87    0.270  1.0000000 2.857143 0.175500 0.7714286
88    0.270  0.9642857 3.061224 0.181800 0.8307692
89    0.260  0.9285714 2.184874 0.141000 0.5842697
90    0.260  0.9454545 2.590286 0.159625 0.6842105
91    0.260  1.0000000 2.857143 0.169000 0.7428571
92    0.260  0.9811321 3.114705 0.176525 0.8125000
93    0.255  0.9444444 2.222222 0.140250 0.5795455
94    0.255  0.9444444 2.587519 0.156450 0.6710526
95    0.255  0.9807692 2.762730 0.162700 0.7083333
96    0.255  0.8947368 2.840434 0.165225 0.7391304
97    0.280  0.9333333 2.304527 0.158500 0.6588235
98    0.280  0.9824561 2.487231 0.167425 0.7000000
99    0.280  0.9655172 2.645253 0.174150 0.7466667
100   0.280  0.9032258 2.618046 0.173050 0.7466667
101   0.200  0.9756098 2.408913 0.116975 0.4878049
102   0.200  0.9302326 2.355019 0.115075 0.4878049
103   0.200  0.8695652 2.520479 0.120650 0.5333333
104   0.260  0.9629630 2.265795 0.145250 0.5977011
105   0.260  0.9285714 2.544031 0.157800 0.6753247
106   0.260  0.9811321 2.763752 0.165925 0.7222222
107   0.260  0.9122807 2.606516 0.160250 0.6933333
108   0.205  0.9318182 2.300786 0.115900 0.4880952
109   0.205  0.9761905 2.471368 0.122050 0.5125000
110   0.205  0.8913043 2.441930 0.121050 0.5256410
111   0.255  0.9622642 2.264151 0.142375 0.5862069
112   0.255  0.9444444 2.587519 0.156450 0.6710526
113   0.255  0.9807692 2.762730 0.162700 0.7083333
114   0.255  1.0000000 2.857143 0.165750 0.7285714
115   0.255  0.9807692 3.113553 0.173100 0.7968750
